iter	Passed	Remaining
0	151	151491
1	169	84406
2	185	61789
3	201	50131
4	217	43324
5	234	38876
6	251	35654
7	268	33239
8	280	30877
9	297	29460
10	312	28134
11	328	27080
12	350	26604
13	367	25867
14	384	25277
15	402	24774
16	420	24329
17	438	23919
18	456	23548
19	475	23279
20	493	22999
21	511	22730
22	528	22448
23	546	22240
24	563	21995
25	581	21774
26	599	21595
27	616	21418
28	634	21230
29	652	21088
30	667	20879
31	685	20722
32	702	20598
33	719	20453
34	737	20341
35	754	20202
36	771	20070
37	791	20031
38	811	19986
39	828	19884
40	846	19793
41	860	19632
42	877	19536
43	894	19440
44	911	19344
45	929	19277
46	949	19246
47	970	19258
48	993	19280
49	1011	19220
50	1028	19141
51	1045	19064
52	1065	19035
53	1086	19038
54	1106	19017
55	1124	18958
56	1143	18920
57	1161	18870
58	1179	18807
59	1198	18781
60	1216	18724
61	1234	18677
62	1251	18615
63	1268	18552
64	1285	18488
65	1302	18429
66	1319	18377
67	1336	18321
68	1354	18281
69	1370	18212
70	1387	18156
71	1405	18115
72	1422	18064
73	1439	18017
74	1457	17973
75	1476	17956
76	1495	17931
77	1513	17892
78	1531	17850
79	1548	17808
80	1567	17788
81	1585	17744
82	1601	17691
83	1618	17652
84	1637	17626
85	1654	17582
86	1670	17533
87	1688	17494
88	1706	17462
89	1723	17424
90	1740	17386
91	1758	17356
92	1776	17329
93	1793	17289
94	1810	17252
95	1828	17216
96	1845	17183
97	1862	17146
98	1880	17111
99	1899	17092
100	1917	17063
101	1934	17031
102	1951	16998
103	1970	16974
104	1989	16957
105	2008	16942
106	2026	16912
107	2045	16891
108	2062	16858
109	2078	16819
110	2096	16788
111	2115	16773
112	2135	16759
113	2159	16779
114	2178	16767
115	2198	16756
116	2217	16733
117	2237	16723
118	2257	16712
119	2272	16667
120	2291	16649
121	2308	16616
122	2328	16602
123	2346	16574
124	2363	16541
125	2379	16507
126	2396	16475
127	2413	16445
128	2430	16407
129	2446	16369
130	2463	16339
131	2480	16309
132	2497	16278
133	2514	16248
134	2531	16220
135	2548	16190
136	2565	16159
137	2581	16126
138	2598	16098
139	2616	16073
140	2634	16048
141	2653	16030
142	2679	16056
143	2705	16080
144	2726	16078
145	2747	16073
146	2771	16079
147	2788	16051
148	2806	16031
149	2823	16000
150	2839	15966
151	2856	15938
152	2873	15906
153	2890	15879
154	2908	15854
155	2928	15841
156	2948	15833
157	2966	15810
158	2983	15782
159	3001	15759
160	3021	15744
161	3039	15720
162	3056	15696
163	3074	15670
164	3092	15650
165	3111	15632
166	3130	15615
167	3149	15595
168	3166	15569
169	3185	15553
170	3203	15530
171	3220	15504
172	3238	15479
173	3256	15458
174	3272	15428
175	3289	15400
176	3307	15377
177	3324	15350
178	3341	15328
179	3359	15303
180	3376	15279
181	3395	15260
182	3412	15233
183	3428	15206
184	3446	15181
185	3462	15153
186	3479	15126
187	3496	15100
188	3513	15076
189	3532	15058
190	3549	15035
191	3566	15008
192	3582	14979
193	3598	14950
194	3615	14926
195	3632	14902
196	3650	14880
197	3666	14852
198	3684	14829
199	3701	14805
200	3718	14782
201	3736	14762
202	3754	14739
203	3771	14716
204	3788	14691
205	3805	14666
206	3822	14641
207	3836	14608
208	3853	14585
209	3870	14560
210	3889	14542
211	3908	14529
212	3926	14507
213	3943	14482
214	3960	14460
215	3977	14438
216	3995	14417
217	4013	14398
218	4034	14386
219	4052	14368
220	4069	14343
221	4085	14316
222	4104	14302
223	4123	14284
224	4139	14259
225	4157	14237
226	4174	14216
227	4192	14195
228	4209	14173
229	4228	14156
230	4245	14134
231	4261	14108
232	4277	14081
233	4293	14054
234	4311	14036
235	4328	14013
236	4345	13988
237	4364	13974
238	4386	13966
239	4406	13952
240	4426	13940
241	4445	13925
242	4464	13909
243	4486	13900
244	4508	13893
245	4526	13874
246	4543	13850
247	4560	13829
248	4578	13809
249	4593	13781
250	4611	13760
251	4627	13735
252	4641	13704
253	4658	13682
254	4675	13660
255	4693	13641
256	4711	13620
257	4728	13600
258	4745	13577
259	4762	13556
260	4779	13533
261	4797	13512
262	4815	13494
263	4831	13469
264	4848	13447
265	4865	13426
266	4881	13402
267	4898	13379
268	4915	13356
269	4931	13333
270	4948	13312
271	4965	13291
272	4982	13267
273	5000	13248
274	5017	13227
275	5037	13214
276	5055	13195
277	5072	13173
278	5089	13151
279	5107	13133
280	5125	13113
281	5141	13090
282	5159	13072
283	5179	13057
284	5198	13041
285	5215	13021
286	5237	13010
287	5258	13000
288	5280	12992
289	5301	12980
290	5319	12959
291	5336	12938
292	5353	12916
293	5369	12895
294	5386	12872
295	5402	12850
296	5418	12826
297	5435	12803
298	5450	12778
299	5468	12759
300	5485	12739
301	5503	12718
302	5520	12698
303	5537	12678
304	5554	12657
305	5572	12637
306	5589	12617
307	5607	12598
308	5625	12579
309	5642	12558
310	5659	12538
311	5677	12519
312	5694	12499
313	5712	12480
314	5731	12462
315	5747	12441
316	5765	12422
317	5782	12401
318	5799	12381
319	5816	12360
320	5833	12340
321	5850	12318
322	5867	12299
323	5884	12278
324	5901	12256
325	5918	12236
326	5934	12213
327	5950	12191
328	5966	12169
329	5983	12149
330	6000	12127
331	6019	12110
332	6036	12091
333	6052	12069
334	6071	12053
335	6089	12033
336	6104	12010
337	6121	11989
338	6138	11969
339	6156	11949
340	6173	11931
341	6189	11908
342	6206	11888
343	6223	11867
344	6240	11847
345	6258	11830
346	6281	11821
347	6299	11802
348	6316	11781
349	6333	11761
350	6350	11742
351	6367	11722
352	6384	11702
353	6401	11682
354	6418	11662
355	6435	11641
356	6451	11620
357	6469	11602
358	6485	11579
359	6503	11560
360	6520	11541
361	6537	11521
362	6552	11499
363	6572	11483
364	6590	11464
365	6606	11444
366	6624	11425
367	6642	11407
368	6666	11400
369	6687	11387
370	6706	11371
371	6725	11353
372	6746	11340
373	6763	11320
374	6782	11304
375	6801	11287
376	6821	11273
377	6841	11257
378	6859	11239
379	6876	11219
380	6892	11198
381	6910	11179
382	6927	11159
383	6944	11139
384	6961	11120
385	6978	11100
386	6995	11080
387	7012	11060
388	7031	11044
389	7048	11025
390	7069	11010
391	7087	10993
392	7106	10976
393	7123	10957
394	7141	10938
395	7159	10919
396	7176	10900
397	7193	10880
398	7210	10860
399	7227	10841
400	7245	10823
401	7263	10804
402	7279	10784
403	7296	10764
404	7314	10746
405	7331	10726
406	7348	10706
407	7365	10687
408	7382	10667
409	7398	10647
410	7416	10627
411	7434	10610
412	7453	10593
413	7470	10574
414	7487	10554
415	7505	10536
416	7521	10515
417	7537	10495
418	7555	10476
419	7574	10459
420	7591	10440
421	7608	10420
422	7625	10402
423	7643	10383
424	7658	10361
425	7675	10342
426	7692	10322
427	7710	10304
428	7729	10287
429	7746	10268
430	7763	10249
431	7781	10230
432	7797	10210
433	7814	10191
434	7832	10172
435	7850	10154
436	7866	10134
437	7884	10116
438	7901	10097
439	7918	10077
440	7935	10058
441	7952	10040
442	7969	10020
443	7986	10001
444	8004	9983
445	8021	9963
446	8040	9947
447	8061	9932
448	8079	9915
449	8097	9896
450	8115	9878
451	8130	9857
452	8149	9840
453	8166	9821
454	8183	9802
455	8198	9781
456	8217	9763
457	8235	9745
458	8250	9724
459	8268	9707
460	8284	9686
461	8300	9665
462	8316	9646
463	8333	9626
464	8351	9608
465	8369	9590
466	8385	9570
467	8402	9551
468	8418	9531
469	8435	9512
470	8452	9493
471	8470	9475
472	8487	9456
473	8504	9437
474	8521	9418
475	8539	9400
476	8558	9383
477	8575	9365
478	8591	9345
479	8608	9326
480	8625	9306
481	8643	9289
482	8660	9270
483	8677	9251
484	8694	9232
485	8711	9212
486	8727	9193
487	8744	9175
488	8763	9157
489	8780	9138
490	8797	9119
491	8813	9100
492	8830	9081
493	8847	9062
494	8874	9053
495	8950	9094
496	9021	9130
497	9112	9186
498	9148	9185
499	9210	9210
500	9229	9192
501	9248	9175
502	9266	9155
503	9283	9135
504	9300	9116
505	9319	9098
506	9336	9079
507	9353	9059
508	9369	9038
509	9386	9018
510	9404	8999
511	9421	8979
512	9440	8962
513	9458	8943
514	9477	8925
515	9495	8906
516	9511	8886
517	9528	8866
518	9544	8845
519	9562	8826
